pLabel,p,equivclass,equivprop,sub,super
game server,http://www.wikidata.org/entity/Q1315933,http://schema.org/GameServer,,,
video game,http://www.wikidata.org/entity/Q7889,http://schema.org/VideoGame,,,
game,http://www.wikidata.org/entity/Q11410,http://schema.org/Game,,,
application,http://www.wikidata.org/entity/Q166142,http://schema.org/SoftwareApplication,,,
financial product,http://www.wikidata.org/entity/Q15809678,http://schema.org/FinancialProduct,,,
vehicle,http://www.wikidata.org/entity/Q42889,http://schema.org/Vehicle,,,
motor vehicle,http://www.wikidata.org/entity/Q752870,http://schema.org/Vehicle,,,
distance,http://www.wikidata.org/entity/Q126017,http://schema.org/Distance,,,
airport,http://www.wikidata.org/entity/Q1248784,http://schema.org/Airport,,,
invoice,http://www.wikidata.org/entity/Q190581,http://schema.org/Invoice,,,
action,http://www.wikidata.org/entity/Q4026292,http://schema.org/Action,,,
blog post,http://www.wikidata.org/entity/Q17928402,http://schema.org/BlogPosting,,,
news article,http://www.wikidata.org/entity/Q5707594,http://schema.org/NewsArticle,,,
report,http://www.wikidata.org/entity/Q10870555,http://schema.org/Report,,,
scientific article,http://www.wikidata.org/entity/Q13442814,http://schema.org/ScholarlyArticle,,,
blog,http://www.wikidata.org/entity/Q30849,http://schema.org/Blog,,,
comment,http://www.wikidata.org/entity/Q1141067,http://schema.org/Comment,,,
answer,http://www.wikidata.org/entity/Q1920566,http://schema.org/Answer,,,
conversation,http://www.wikidata.org/entity/Q52943,http://schema.org/Conversation,,,
book series,http://www.wikidata.org/entity/Q277759,http://schema.org/BookSeries,,,
magazine,http://www.wikidata.org/entity/Q41298,http://schema.org/Periodical,,,
video game series,http://www.wikidata.org/entity/Q7058673,http://schema.org/VideoGameSeries,,,
Data feed,http://www.wikidata.org/entity/Q5227292,http://schema.org/DataFeed,,,
barcode,http://www.wikidata.org/entity/Q856,http://schema.org/Barcode,,,
message,http://www.wikidata.org/entity/Q628523,http://schema.org/Message,,,
playlist,http://www.wikidata.org/entity/Q1569406,http://schema.org/MusicPlaylist,,,
album,http://www.wikidata.org/entity/Q482994,http://schema.org/MusicAlbum,,,
release,http://www.wikidata.org/entity/Q2031291,http://schema.org/MusicRelease,,,
painting,http://www.wikidata.org/entity/Q3305213,http://schema.org/Painting,,,
volume,http://www.wikidata.org/entity/Q19816504,http://schema.org/PublicationVolume,,,
question,http://www.wikidata.org/entity/Q189756,http://schema.org/Question,,,
demand,http://www.wikidata.org/entity/Q4402708,http://schema.org/Demand,,,
father,http://www.wikidata.org/entity/P22,,,,http://schema.org/parent
mother,http://www.wikidata.org/entity/P25,,,,http://schema.org/parent
Exif model,http://www.wikidata.org/entity/P2009,,,,http://schema.org/exifData
Exif make,http://www.wikidata.org/entity/P2010,,,,http://schema.org/exifData
seat,http://www.wikidata.org/entity/Q2731419,,,http://pending.schema.org/seatNumber,
seat,http://www.wikidata.org/entity/Q2731419,,,http://pending.schema.org/seatRow,
seat,http://www.wikidata.org/entity/Q2731419,,,http://pending.schema.org/seatSection,
